Name,Duration,Genre
Topaz,143 min,Thriller
Lamb,96 min,Drama
Catwoman,104 min,Action
Dangerous,79 min,Drama
Hud,112 min,Drama
War Room,120 min,Drama
Evil Dead,91 min,Horror
Dracula,85 min,Horror
Ivansxtc,93 min,Drama
Polyster,86 min,Comedy
Wheels,115 min,Drama
Superbad,113 min,Comedy
Showgirls,128 min,Drama
I Am Sam,132 min,Drama
War Pigs,88 min,"Action,War"
Under Fire,128 min,"Drama,War"
Jennifer,90 min,Horror
The Fixer,,Action
Losin' It,100 min,Comedy
The Intern,121 min,Comedy
Wildfire,,Drama
Halloween,109 min,Horror
Neighbors,97 min,Comedy
Blow,,Drama
Angela,91 min,Drama
Fort Worth,80 min,Western
1 Out Of 7,,Drama
Interiors,93 min,Drama
Radio Days,88 min,Comedy
Bananas,82 min,Comedy
Zoolander,89 min,Comedy
Zelig,79 min,Comedy
Bleeders,89 min,Horror
The Mummy,73 min,Horror
Talk Radio,110 min,Drama
Film Geek,78 min,Comedy
Two Bits,85 min,Drama
Hostel,94 min,Horror
The Birds,119 min,Horror
Tommy Boy,97 min,Comedy
Orgazmo,94 min,Comedy
BrÃÂ¼no,81 min,Comedy
Horse Camp,108 min,Family
Easy Money,95 min,Comedy
Snowmen,86 min,Family
Stop-Loss,112 min,"Drama,War"
MF,,
Lavender,,Thriller
MallBrats,,Comedy
Manglehorn,97 min,Drama
The 33,120 min,Drama
Lucky Them,97 min,Drama
Baby Boy,,Drama
Fight Club,139 min,Drama
Platoon,120 min,"Drama,War"
Troy,163 min,Adventure
Unforgiven,131 min,Western
1915,82 min,Drama
Mala Noche,78 min,Drama
Tex,103 min,Drama
U-571,116 min,"Action,War"
Joe,117 min,Drama
Joe Kidd,88 min,Western
Brubaker,131 min,Drama
Scarecrow,112 min,Drama
Panic Room,112 min,Thriller
Sliver,107 min,Thriller
Babel,,Drama
Seizure,94 min,Horror
Rain Man,133 min,Drama
Taps,126 min,Drama
The Auteur,80 min,Comedy
Rid of Me,90 min,Comedy
Subculture,73 min,
Crash,112 min,Drama
SalomÃÂ©,81 min,Drama
Mud,130 min,Drama
Network,121 min,Drama
Providence,,
Grown Ups,102 min,Comedy
Posse,111 min,Western
Clerks III,97 min,Comedy
Clerks,92 min,Comedy
Dirty Work,82 min,Comedy
Old School,88 min,Comedy
Due Date,95 min,Comedy
The Queen,,Drama
1408,104 min,Western
Road Trip,93 min,Comedy
EuroTrip,93 min,Comedy
Rampage,,Action
Entourage,,Comedy
Twins,107 min,Comedy
Ted 2,115 min,Comedy
100 Proof,94 min,Drama
The Jerk,94 min,Comedy
Stripes,106 min,"Comedy,War"
Airplane!,88 min,Comedy
Fast Food,92 min,Comedy
The Expert,92 min,Action
Rodeo Girls,,Family
The Fog,89 min,Horror
Mame,132 min,Musical
Hawaii,189 min,Drama
War Horse,146 min,"Drama,War"
In & Out,90 min,Comedy
Palo Alto,100 min,Drama
First Dog,90 min,Family
Dear God,112 min,Comedy
Transpecos,,Thriller
Fluidic,,Sci-Fi
Wolves,,Drama
Mean Girls,97 min,Comedy
Wanderlust,98 min,Comedy
Cake,102 min,Drama
Antibirth,,Horror
Taco Shop,,Comedy
Macbeth,113 min,"Drama,War"
The Beaver,91 min,Drama
Loving,,Drama
Ceremony,,Comedy
Safelight,84 min,Drama
Chi-Raq,,Drama
Starhops,82 min,Comedy
Class Act,98 min,Comedy
The Witch,90 min,Horror
Results,105 min,Comedy
Stonewall,129 min,Drama
Freakshow,102 min,Horror
